epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1943.03,0.72613,0.73068,0.07362,0.3422,0.43403,0.28459,0.10954,0.75473,0.76807,0.069,0.000450172,0.000450172,0.000450172
43,1989.36,0.68976,0.71145,0.05514,0.49613,0.45833,0.37774,0.13452,0.79187,0.68853,0.06794,0.000447801,0.000447801,0.000447801
44,2035.49,0.69462,0.69245,0.06355,0.44194,0.49653,0.39535,0.14591,0.7927,0.84296,0.0707,0.000445382,0.000445382,0.000445382
45,2081.84,0.76094,0.71689,0.06707,0.53373,0.45833,0.40667,0.14777,0.81794,0.67393,0.0742,0.000442915,0.000442915,0.000442915
46,2128.11,0.72506,0.70687,0.07175,0.49485,0.53402,0.42855,0.15557,0.81633,0.61284,0.06617,0.000440401,0.000440401,0.000440401
47,2174.4,0.74068,0.66511,0.09332,0.50616,0.48611,0.41269,0.15209,0.79216,0.65942,0.06032,0.00043784,0.00043784,0.00043784
48,2219.95,0.74816,0.61256,0.05542,0.55298,0.51113,0.45508,0.15848,0.79095,0.65408,0.06554,0.000435233,0.000435233,0.000435233
49,2266.55,0.75232,0.59698,0.06439,0.41476,0.46875,0.38143,0.11214,0.85348,0.6406,0.07628,0.000432581,0.000432581,0.000432581
50,2312.08,0.75501,0.62221,0.06714,0.53924,0.45833,0.38853,0.10381,0.86524,0.61211,0.07874,0.000429884,0.000429884,0.000429884
51,2357.84,0.74236,0.64858,0.08037,0.33017,0.52372,0.29576,0.11344,0.75592,0.71131,0.06118,0.000427143,0.000427143,0.000427143
52,2403.48,0.72548,0.61964,0.07084,0.51554,0.5625,0.47554,0.18757,0.72964,0.63009,0.05845,0.000424358,0.000424358,0.000424358
53,2449.77,0.7201,0.66348,0.06644,0.62815,0.40972,0.44054,0.15515,0.74714,0.69001,0.06298,0.000421531,0.000421531,0.000421531
54,2495.41,0.74364,0.67262,0.06996,0.41469,0.39931,0.35748,0.13302,0.72057,0.75334,0.05657,0.000418662,0.000418662,0.000418662
55,2540.92,0.69996,0.65527,0.05728,0.49638,0.51389,0.43146,0.15404,0.74481,0.68234,0.05728,0.000415751,0.000415751,0.000415751
56,2586.56,0.73264,0.63283,0.05749,0.52907,0.54514,0.4686,0.16867,0.75207,0.61835,0.06324,0.0004128,0.0004128,0.0004128
57,2632.13,0.73085,0.63325,0.07143,0.5719,0.47314,0.45655,0.17332,0.73954,0.67931,0.05789,0.000409809,0.000409809,0.000409809
58,2677.89,0.69921,0.58745,0.06668,0.5274,0.56944,0.47734,0.17653,0.77854,0.62177,0.06289,0.000406779,0.000406779,0.000406779
59,2723.59,0.7305,0.60438,0.06936,0.59979,0.56944,0.52104,0.19901,0.74006,0.6518,0.05683,0.000403711,0.000403711,0.000403711
60,2770.02,0.68303,0.60518,0.05837,0.5862,0.54108,0.51074,0.18745,0.7453,0.62406,0.05912,0.000400605,0.000400605,0.000400605
61,2815.51,0.7107,0.57627,0.06778,0.52747,0.52713,0.45057,0.15193,0.79042,0.64237,0.06518,0.000397462,0.000397462,0.000397462
62,2861.58,0.69606,0.58162,0.05494,0.47813,0.61806,0.45701,0.18311,0.75562,0.66036,0.06212,0.000394283,0.000394283,0.000394283
63,2907.94,0.70522,0.59446,0.05879,0.61498,0.5047,0.48405,0.18554,0.72449,0.6817,0.05854,0.000391068,0.000391068,0.000391068
64,2953.59,0.74494,0.55316,0.06748,0.57717,0.55208,0.51979,0.19755,0.78939,0.59857,0.06858,0.000387819,0.000387819,0.000387819
65,2999.22,0.70204,0.57031,0.05776,0.53876,0.57593,0.50197,0.18203,0.79273,0.59308,0.06504,0.000384537,0.000384537,0.000384537
66,3044.74,0.6989,0.595,0.0768,0.55568,0.5819,0.49198,0.1933,0.74524,0.64637,0.06415,0.000381222,0.000381222,0.000381222
67,3090.33,0.65472,0.57421,0.05508,0.61369,0.59028,0.54156,0.21742,0.74394,0.59436,0.05894,0.000377874,0.000377874,0.000377874
68,3136.61,0.68512,0.57588,0.06913,0.67044,0.58333,0.55892,0.18616,0.79541,0.57812,0.06956,0.000374495,0.000374495,0.000374495
69,3182.21,0.64624,0.57422,0.05579,0.59926,0.62847,0.50604,0.19135,0.75784,0.62267,0.06566,0.000371086,0.000371086,0.000371086
70,3227.88,0.66279,0.54296,0.0681,0.57788,0.64236,0.55091,0.21835,0.72619,0.61151,0.05453,0.000367648,0.000367648,0.000367648
71,3274.33,0.68041,0.57325,0.05337,0.54617,0.59375,0.47079,0.15947,0.82756,0.63341,0.07472,0.00036418,0.00036418,0.00036418
72,3319.91,0.68732,0.59143,0.07367,0.65047,0.58681,0.57696,0.21584,0.75394,0.61816,0.06405,0.000360685,0.000360685,0.000360685
73,3365.56,0.66519,0.55855,0.06525,0.62775,0.5797,0.54728,0.21538,0.74265,0.60335,0.056,0.000357163,0.000357163,0.000357163
74,3411.19,0.68569,0.5566,0.06201,0.61302,0.61111,0.55964,0.20624,0.7418,0.59044,0.06021,0.000353614,0.000353614,0.000353614
75,3456.97,0.63309,0.54308,0.05197,0.69291,0.55556,0.53511,0.20117,0.75718,0.6408,0.06505,0.000350041,0.000350041,0.000350041
76,3502.7,0.65573,0.57411,0.06018,0.54035,0.649,0.51555,0.20555,0.7508,0.62589,0.06212,0.000346443,0.000346443,0.000346443
77,3548.46,0.64982,0.5429,0.05784,0.71482,0.54831,0.56768,0.21354,0.74004,0.65233,0.06387,0.000342821,0.000342821,0.000342821
78,3594.16,0.62411,0.5547,0.04869,0.55023,0.63194,0.501,0.20091,0.74453,0.65594,0.07056,0.000339177,0.000339177,0.000339177
79,3639.82,0.63613,0.56743,0.05037,0.63088,0.66319,0.54679,0.23043,0.72574,0.62238,0.06048,0.000335511,0.000335511,0.000335511
80,3686.19,0.64698,0.57095,0.05648,0.67525,0.59028,0.57117,0.23256,0.73265,0.63074,0.06149,0.000331824,0.000331824,0.000331824
81,3732.63,0.63501,0.56975,0.06019,0.62032,0.59565,0.53838,0.22502,0.7454,0.64577,0.06551,0.000328118,0.000328118,0.000328118
82,3778.55,0.64987,0.56847,0.05697,0.61269,0.60069,0.53365,0.19798,0.76303,0.62571,0.06438,0.000324393,0.000324393,0.000324393
