epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,1809.46,0.78261,0.77451,0.07234,0.18912,0.38542,0.17077,0.05321,0.77051,0.77349,0.06922,0.000268838,0.000268838,0.000268838
44,1850.99,0.77965,0.73967,0.06708,0.17009,0.41667,0.17254,0.06473,0.77506,0.79859,0.06336,0.000267394,0.000267394,0.000267394
45,1893.01,0.77472,0.7678,0.079,0.20028,0.39236,0.19313,0.07106,0.77707,0.75667,0.06612,0.000265921,0.000265921,0.000265921
46,1934.81,0.74585,0.76738,0.06607,0.21911,0.44444,0.21196,0.07342,0.73903,0.78325,0.06173,0.00026442,0.00026442,0.00026442
47,1976.99,0.75281,0.76233,0.06833,0.17035,0.45833,0.17678,0.06523,0.76019,0.8266,0.0662,0.000262891,0.000262891,0.000262891
48,2018.53,0.74104,0.77226,0.07106,0.21321,0.47047,0.21589,0.08586,0.75067,0.77244,0.064,0.000261335,0.000261335,0.000261335
49,2061.15,0.70158,0.78678,0.06018,0.16861,0.40912,0.1647,0.06292,0.75667,0.76288,0.06878,0.000259752,0.000259752,0.000259752
50,2103.15,0.71971,0.78817,0.06941,0.18066,0.43403,0.17922,0.07044,0.74765,0.79591,0.06625,0.000258142,0.000258142,0.000258142
51,2145.08,0.72667,0.76786,0.08323,0.14953,0.52778,0.16033,0.05588,0.78851,0.91474,0.0686,0.000256505,0.000256505,0.000256505
52,2187.04,0.73572,0.81001,0.07375,0.19042,0.46528,0.19482,0.07076,0.75794,0.7593,0.06833,0.000254843,0.000254843,0.000254843
53,2228.78,0.71457,0.80866,0.06172,0.20027,0.45139,0.20368,0.0638,0.74571,0.79709,0.06234,0.000253155,0.000253155,0.000253155
54,2271.48,0.68771,0.80711,0.06845,0.1451,0.48264,0.16972,0.06368,0.74267,0.97875,0.06281,0.000251442,0.000251442,0.000251442
