epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
149,6345.67,0.52717,0.45283,0.04058,0.7427,0.69792,0.72221,0.33055,0.70248,0.51893,0.05923,4.98448e-05,4.98448e-05,4.98448e-05
150,6387.55,0.50759,0.45114,0.04416,0.74362,0.71875,0.72378,0.33313,0.70292,0.51605,0.05964,4.81569e-05,4.81569e-05,4.81569e-05
151,6430.27,0.52319,0.45745,0.04009,0.78469,0.70866,0.73881,0.33085,0.6892,0.53446,0.05427,4.64946e-05,4.64946e-05,4.64946e-05
152,6472.18,0.50835,0.44706,0.04798,0.73588,0.72222,0.73182,0.33806,0.70286,0.51889,0.05653,4.48582e-05,4.48582e-05,4.48582e-05
153,6514.76,0.49513,0.45289,0.05065,0.72004,0.71528,0.71362,0.33357,0.71206,0.52063,0.06007,4.32482e-05,4.32482e-05,4.32482e-05
154,6556.62,0.48527,0.44837,0.04983,0.70755,0.71528,0.71062,0.326,0.70014,0.52942,0.06201,4.16648e-05,4.16648e-05,4.16648e-05
155,6598.44,0.50392,0.45485,0.04393,0.74686,0.69661,0.70958,0.33848,0.67729,0.56583,0.058,4.01085e-05,4.01085e-05,4.01085e-05
156,6641.09,0.51568,0.44433,0.04468,0.76346,0.68403,0.71284,0.3358,0.69432,0.54066,0.05537,3.85797e-05,3.85797e-05,3.85797e-05
157,6682.95,0.52618,0.43877,0.0467,0.76865,0.71875,0.73179,0.3401,0.7001,0.51709,0.05546,3.70788e-05,3.70788e-05,3.70788e-05
158,6725.44,0.49309,0.43637,0.04662,0.77298,0.71875,0.71603,0.33432,0.70474,0.51434,0.05571,3.56061e-05,3.56061e-05,3.56061e-05
159,6767.31,0.49435,0.4485,0.04012,0.75637,0.71147,0.7057,0.32839,0.70314,0.52253,0.05712,3.4162e-05,3.4162e-05,3.4162e-05
160,6809.19,0.50892,0.44961,0.04406,0.75922,0.71181,0.70587,0.33402,0.69854,0.51783,0.06037,3.27468e-05,3.27468e-05,3.27468e-05
161,6851.04,0.51108,0.42541,0.05024,0.78554,0.70139,0.71346,0.33073,0.70173,0.52747,0.0598,3.1361e-05,3.1361e-05,3.1361e-05
162,6892.84,0.49431,0.43914,0.03964,0.81023,0.70139,0.72753,0.34452,0.69733,0.52702,0.05821,3.00048e-05,3.00048e-05,3.00048e-05
163,6935.17,0.50922,0.43669,0.04094,0.78013,0.70833,0.71689,0.33754,0.70464,0.52114,0.05642,2.86785e-05,2.86785e-05,2.86785e-05
164,6977.07,0.49542,0.45509,0.04097,0.78667,0.69097,0.72749,0.34859,0.69268,0.52944,0.05628,2.73826e-05,2.73826e-05,2.73826e-05
165,7019.62,0.49362,0.43875,0.05026,0.8013,0.70486,0.73045,0.34908,0.68546,0.5419,0.05409,2.61173e-05,2.61173e-05,2.61173e-05
166,7062.26,0.47606,0.43878,0.03796,0.77146,0.71496,0.7213,0.34162,0.70282,0.52728,0.05997,2.48829e-05,2.48829e-05,2.48829e-05
167,7104.1,0.49589,0.44336,0.0441,0.79223,0.69444,0.71998,0.34323,0.70122,0.52241,0.05908,2.36798e-05,2.36798e-05,2.36798e-05
168,7145.77,0.50701,0.43695,0.05448,0.8045,0.68403,0.72214,0.33617,0.70477,0.52336,0.06146,2.25082e-05,2.25082e-05,2.25082e-05
169,7187.56,0.47893,0.441,0.03909,0.7858,0.71528,0.73471,0.34911,0.70037,0.51517,0.05906,2.13685e-05,2.13685e-05,2.13685e-05
170,7230.13,0.47542,0.44324,0.05211,0.79661,0.70719,0.73624,0.35173,0.69738,0.50879,0.06006,2.02608e-05,2.02608e-05,2.02608e-05
171,7273.33,0.45078,0.43258,0.03752,0.8089,0.70549,0.736,0.34885,0.69367,0.51949,0.06027,1.91855e-05,1.91855e-05,1.91855e-05
172,7315.13,0.4555,0.42192,0.03538,0.7994,0.70567,0.73122,0.34709,0.69282,0.52799,0.05649,1.81429e-05,1.81429e-05,1.81429e-05
173,7356.92,0.4745,0.42834,0.03686,0.77372,0.71236,0.71737,0.3369,0.70757,0.52458,0.06129,1.71332e-05,1.71332e-05,1.71332e-05
174,7398.58,0.45094,0.43312,0.03267,0.77612,0.71181,0.724,0.3397,0.6953,0.52667,0.05773,1.61566e-05,1.61566e-05,1.61566e-05
175,7440.38,0.46456,0.43099,0.03477,0.78546,0.70139,0.74968,0.35434,0.67564,0.53463,0.05535,1.52134e-05,1.52134e-05,1.52134e-05
