epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,990.07,0.88473,0.61577,0.1059,0.21498,0.34028,0.16981,0.04773,0.934,0.6063,0.0908,0.000450422,0.000450422,0.000450422
43,1013.49,0.89488,0.5964,0.0876,0.25333,0.41113,0.22813,0.07049,0.91571,0.58965,0.09075,0.000448063,0.000448063,0.000448063
44,1036.84,0.90481,0.58638,0.08635,0.24788,0.43403,0.24869,0.08523,0.89193,0.62625,0.0873,0.000445657,0.000445657,0.000445657
45,1060.97,0.87311,0.59214,0.07783,0.29877,0.39236,0.26999,0.08155,0.89951,0.59908,0.08709,0.000443202,0.000443202,0.000443202
46,1084.29,0.88413,0.57892,0.07499,0.31196,0.39236,0.26685,0.08234,0.88605,0.62304,0.08821,0.0004407,0.0004407,0.0004407
47,1107.56,0.85192,0.61164,0.07953,0.302,0.36458,0.23734,0.07241,0.8914,0.65573,0.08742,0.000438152,0.000438152,0.000438152
48,1130.93,0.84383,0.62443,0.08809,0.26735,0.42014,0.23602,0.08081,0.8419,0.63882,0.07807,0.000435559,0.000435559,0.000435559
49,1154.12,0.86788,0.59126,0.08115,0.22836,0.48264,0.23464,0.07421,0.85282,0.62224,0.07922,0.00043292,0.00043292,0.00043292
50,1177.47,0.8657,0.61617,0.0813,0.1875,0.38863,0.15791,0.04576,0.89938,0.62428,0.09366,0.000430236,0.000430236,0.000430236
51,1200.91,0.854,0.60353,0.08599,0.27992,0.37929,0.23847,0.07725,0.82519,0.67769,0.0808,0.000427509,0.000427509,0.000427509
52,1224.1,0.84338,0.59721,0.07798,0.27077,0.42546,0.25745,0.07459,0.86866,0.65127,0.07913,0.000424738,0.000424738,0.000424738
53,1247.3,0.84858,0.60938,0.08627,0.27262,0.36179,0.19912,0.05557,0.86832,0.6426,0.08237,0.000421925,0.000421925,0.000421925
54,1270.5,0.89725,0.55334,0.08381,0.29086,0.41319,0.20996,0.05073,0.96216,0.57859,0.11026,0.000419071,0.000419071,0.000419071
55,1293.73,0.88026,0.59834,0.0938,0.27586,0.46528,0.23811,0.07831,0.8748,0.62995,0.0824,0.000416175,0.000416175,0.000416175
56,1316.97,0.86939,0.5947,0.0823,0.46905,0.48611,0.3834,0.12331,0.80478,0.64155,0.06878,0.000413238,0.000413238,0.000413238
57,1340.88,0.87899,0.57273,0.09031,0.33178,0.48618,0.28578,0.09869,0.80142,0.65431,0.07052,0.000410262,0.000410262,0.000410262
58,1364.19,0.85582,0.57325,0.09529,0.41861,0.46875,0.32366,0.11388,0.85015,0.61945,0.08676,0.000407248,0.000407248,0.000407248
59,1387.5,0.86731,0.58038,0.0869,0.34288,0.31597,0.20438,0.05554,1.02691,0.53235,0.12748,0.000404194,0.000404194,0.000404194
60,1410.86,0.86627,0.56834,0.0788,0.41456,0.44097,0.34157,0.12898,0.84014,0.62736,0.08359,0.000401104,0.000401104,0.000401104
61,1434.82,0.82055,0.58346,0.07193,0.46725,0.42635,0.33371,0.10891,0.88723,0.61775,0.08927,0.000397977,0.000397977,0.000397977
62,1458.06,0.80576,0.60831,0.07891,0.31206,0.46528,0.25605,0.07574,0.89847,0.60758,0.08673,0.000394814,0.000394814,0.000394814
63,1481.23,0.84633,0.60266,0.07516,0.41714,0.48611,0.34858,0.10877,0.90804,0.61486,0.0891,0.000391616,0.000391616,0.000391616
64,1504.54,0.79884,0.59261,0.07157,0.36394,0.58333,0.34337,0.1229,0.8452,0.57284,0.07888,0.000388383,0.000388383,0.000388383
65,1527.82,0.83297,0.59694,0.06472,0.3597,0.46181,0.30014,0.09815,0.84673,0.68162,0.08175,0.000385117,0.000385117,0.000385117
66,1551.04,0.83267,0.59217,0.0678,0.35519,0.44097,0.2575,0.07798,0.88638,0.61391,0.08456,0.000381818,0.000381818,0.000381818
67,1574.18,0.81555,0.62327,0.06703,0.4233,0.41667,0.29349,0.09368,0.91424,0.59085,0.10288,0.000378488,0.000378488,0.000378488
68,1597.38,0.85229,0.58105,0.10455,0.49556,0.35764,0.33334,0.09966,0.9436,0.55439,0.09319,0.000375126,0.000375126,0.000375126
69,1620.71,0.80216,0.62251,0.07454,0.43055,0.37153,0.28799,0.09212,0.96047,0.56245,0.10241,0.000371734,0.000371734,0.000371734
70,1644.02,0.83995,0.60622,0.08697,0.46506,0.42361,0.31981,0.11778,0.82409,0.68139,0.07464,0.000368313,0.000368313,0.000368313
71,1667.24,0.82777,0.59414,0.08255,0.50613,0.48611,0.39482,0.13992,0.79669,0.63632,0.07022,0.000364863,0.000364863,0.000364863
72,1691.23,0.79302,0.60791,0.07429,0.41046,0.45833,0.31732,0.10594,0.83736,0.61771,0.08115,0.000361385,0.000361385,0.000361385
73,1714.47,0.81831,0.59215,0.08002,0.35476,0.55208,0.35319,0.11954,0.79536,0.66334,0.06697,0.00035788,0.00035788,0.00035788
74,1737.68,0.80683,0.5844,0.07036,0.54686,0.43403,0.39984,0.15077,0.79649,0.61953,0.07296,0.00035435,0.00035435,0.00035435
75,1761.62,0.76978,0.61501,0.07424,0.53532,0.40278,0.37284,0.12518,0.8093,0.64132,0.0736,0.000350794,0.000350794,0.000350794
76,1784.94,0.75293,0.61956,0.06972,0.53926,0.4511,0.40129,0.12576,0.82602,0.60205,0.07404,0.000347214,0.000347214,0.000347214
77,1808.1,0.77343,0.61632,0.07259,0.40247,0.55208,0.37089,0.11654,0.82732,0.6598,0.07631,0.000343611,0.000343611,0.000343611
78,1831.39,0.76846,0.62807,0.07284,0.54613,0.35069,0.39223,0.13466,0.7985,0.64771,0.07287,0.000339985,0.000339985,0.000339985
79,1854.62,0.7724,0.61885,0.07516,0.43619,0.57292,0.38544,0.12999,0.81842,0.64633,0.0737,0.000336338,0.000336338,0.000336338
80,1877.85,0.7904,0.5903,0.08267,0.5386,0.49044,0.4273,0.13812,0.84255,0.58091,0.08078,0.00033267,0.00033267,0.00033267
81,1901.22,0.74506,0.60515,0.05946,0.58293,0.46181,0.41516,0.14247,0.81622,0.59364,0.07961,0.000328982,0.000328982,0.000328982
82,1924.42,0.75029,0.60374,0.06557,0.4937,0.54861,0.42316,0.14292,0.82213,0.59995,0.07644,0.000325275,0.000325275,0.000325275
83,1947.71,0.78177,0.56876,0.08302,0.53799,0.57639,0.44227,0.15257,0.84406,0.57493,0.07827,0.00032155,0.00032155,0.00032155
84,1971.62,0.77899,0.56714,0.06101,0.52753,0.57986,0.46495,0.17406,0.79609,0.59394,0.07197,0.000317809,0.000317809,0.000317809
85,1995.56,0.76826,0.55818,0.07332,0.55085,0.57915,0.47447,0.17483,0.80209,0.57539,0.07824,0.000314051,0.000314051,0.000314051
